,1m,3m,15m,time,EMA123,EMA263,EMA121,EMA261,EMA1215,EMA2615
0,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:00,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
1,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:01,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
2,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:02,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
3,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:03,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
4,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:04,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
5,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:05,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
6,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:06,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
7,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:07,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
8,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:08,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
9,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:09,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
10,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:10,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
11,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:11,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
12,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:12,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
13,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:13,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
14,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:14,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
15,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:15,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
16,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:16,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
17,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:17,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
18,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:18,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
19,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:19,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
20,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:20,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
21,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:21,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
22,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:22,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
23,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:23,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
24,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:24,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
25,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:25,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
26,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:26,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
27,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:27,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
28,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:28,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
29,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:29,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
30,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:30,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
31,6.0882051282051295,6.0882051282051295,6.0882051282051295,1900-01-01 12:57:31,7.33846153846,3.53333333333,7.33846153846,3.53333333333,7.33846153846,3.53333333333
