,0,1,2,3
138,1900-01-01 13:15:03,47.70,red,5
139,1900-01-01 13:15:05,47.70,red,9
140,1900-01-01 13:15:07,47.70,green,8
141,1900-01-01 13:15:08,47.70,green,9
142,1900-01-01 13:15:12,47.70,red,18
143,1900-01-01 13:15:15,47.71,red,1
144,1900-01-01 13:15:17,47.71,red,10
145,1900-01-01 13:15:18,47.70,green,10
146,1900-01-01 13:15:42,47.71,red,1
147,1900-01-01 13:15:44,47.70,green,1
148,1900-01-01 13:15:48,47.70,green,1
149,1900-01-01 13:15:49,47.71,red,1
150,1900-01-01 13:16:00,47.71,red,1
151,1900-01-01 13:16:15,47.71,red,1
152,1900-01-01 13:16:42,47.70,green,1
153,1900-01-01 13:16:48,47.70,green,1
154,1900-01-01 13:16:49,47.70,green,1
155,1900-01-01 13:16:49,47.70,green,15
156,1900-01-01 13:16:52,47.70,red,1
157,1900-01-01 13:16:53,47.70,red,26
158,1900-01-01 13:16:55,47.71,red,26
159,1900-01-01 13:17:00,47.71,red,1
160,1900-01-01 13:17:06,47.70,green,1
161,1900-01-01 13:17:09,47.70,green,1
162,1900-01-01 13:17:12,47.70,green,14
163,1900-01-01 13:17:13,47.70,green,10
164,1900-01-01 13:17:16,47.70,red,17
165,1900-01-01 13:17:23,47.71,red,1
166,1900-01-01 13:17:38,47.70,green,4
167,1900-01-01 13:18:00,47.70,green,1
168,1900-01-01 13:18:16,47.70,green,2
169,1900-01-01 13:18:17,47.70,green,2
170,1900-01-01 13:18:19,47.70,green,5
171,1900-01-01 13:18:19,47.70,red,5
172,1900-01-01 13:18:20,47.70,red,15
173,1900-01-01 13:18:31,47.70,red,3
174,1900-01-01 13:18:54,47.70,red,1
175,1900-01-01 13:19:00,47.69,green,1
176,1900-01-01 13:19:08,47.69,green,1
177,1900-01-01 13:19:09,47.69,green,40
178,1900-01-01 13:19:10,47.70,red,10
179,1900-01-01 13:19:32,47.69,green,1
180,1900-01-01 13:19:32,47.69,green,1
181,1900-01-01 13:19:32,47.69,green,14
182,1900-01-01 13:19:33,47.69,green,12
183,1900-01-01 13:19:34,47.69,red,1
184,1900-01-01 13:19:36,47.69,green,28
185,1900-01-01 13:19:37,47.70,red,1
186,1900-01-01 13:19:38,47.71,red,41
187,1900-01-01 13:19:39,47.71,red,1
188,1900-01-01 13:19:41,47.71,red,1
189,1900-01-01 13:20:00,47.71,red,1
190,1900-01-01 13:20:00,47.70,green,1
191,1900-01-01 13:20:04,47.70,green,1
192,1900-01-01 13:20:14,47.70,green,1
193,1900-01-01 13:21:00,47.70,green,2
194,1900-01-01 13:21:19,47.70,green,1
195,1900-01-01 13:21:29,47.70,green,11
196,1900-01-01 13:21:29,47.70,green,5
197,1900-01-01 13:21:30,47.69,green,1
198,1900-01-01 13:21:31,47.69,green,5
199,1900-01-01 13:21:55,47.70,red,1
200,1900-01-01 13:22:00,47.70,red,1
201,1900-01-01 13:22:08,47.69,green,1
202,1900-01-01 13:22:45,47.69,green,1
203,1900-01-01 13:22:49,47.69,green,1
204,1900-01-01 13:22:49,47.69,green,1
205,1900-01-01 13:22:54,47.69,green,1
206,1900-01-01 13:22:56,47.70,red,1
207,1900-01-01 13:23:00,47.69,green,2
208,1900-01-01 13:23:12,47.70,red,1
209,1900-01-01 13:23:31,47.69,green,1
210,1900-01-01 13:23:40,47.70,red,1
211,1900-01-01 13:23:47,47.70,red,1
212,1900-01-01 13:24:00,47.70,red,25
213,1900-01-01 13:24:08,47.70,red,20
214,1900-01-01 13:24:09,47.70,red,39
215,1900-01-01 13:24:10,47.70,red,1
216,1900-01-01 13:24:24,47.70,red,2
217,1900-01-01 13:24:29,47.70,red,7
218,1900-01-01 13:24:30,47.70,red,3
219,1900-01-01 13:24:31,47.70,green,1
220,1900-01-01 13:24:31,47.70,green,2
221,1900-01-01 13:24:34,47.69,green,2
222,1900-01-01 13:24:38,47.70,red,1
223,1900-01-01 13:24:39,47.69,green,1
224,1900-01-01 13:24:56,47.69,green,1
225,1900-01-01 13:25:00,47.70,red,3
226,1900-01-01 13:25:32,47.70,red,1
227,1900-01-01 13:25:32,47.70,red,5
228,1900-01-01 13:25:32,47.70,green,1
229,1900-01-01 13:25:33,47.70,green,18
230,1900-01-01 13:25:34,47.70,green,3
231,1900-01-01 13:25:36,47.70,green,2
232,1900-01-01 13:25:53,47.70,green,1
233,1900-01-01 13:25:55,47.71,red,5
234,1900-01-01 13:25:57,47.69,green,15
235,1900-01-01 13:26:00,47.69,green,1
236,1900-01-01 13:26:04,47.70,red,1
237,1900-01-01 13:26:10,47.69,green,1
238,1900-01-01 13:26:42,47.70,red,2
239,1900-01-01 13:26:46,47.69,green,1
240,1900-01-01 13:27:00,47.69,green,1
